key,obj 0,obj 1,obj 2,obj 3,obj 4,obj 5,obj 6,obj 7
0,2.721148068,3.141406432,-0.250025167,0.116448039,-0.96969697,3.33E-16,-0.658804667,0.399919588
1,2.137099428,3.011418797,-0.200032365,0.074397803,-0.97979798,1.11E-16,-0.730242,0.399950528
2,3.180925556,3.047905785,-0.450201526,0.172112238,-0.98989899,2.22E-16,-0.508287333,0.436934596
3,2.440353089,3.082291924,-0.250204326,0.087975286,-1,0,-0.661828667,0.424715974
4,1.969066658,2.931171854,-0.100109348,0.049846952,-0.96969697,3.33E-16,-0.782053333,0.348189333
5,3.343721329,3.056060154,-0.500013908,0.199991,-0.878787879,2.22E-16,-0.477084,0.433886372
6,2.978810383,3.074496887,-0.359772292,0.11423207,-1,0,-0.551831333,0.440145758
7,1.984386783,2.927959757,-0.200283871,0.064276835,-0.96969697,3.33E-16,-0.729421333,0.410598407
8,1.375166973,2.614437045,-0.024964691,0.004887347,-0.98989899,2.22E-16,-0.840721333,0.322565962
9,1.886157783,2.896559799,-0.150176785,0.042875612,-0.97979798,1.11E-16,-0.7512,0.3957875
10,2.683526291,3.073763373,-0.300292238,0.099615831,-0.98989899,2.22E-16,-0.606596667,0.438057673
11,2.757268805,3.110075665,-0.15010397,0.09724389,-0.929292929,1.11E-16,-0.719326667,0.349348376
12,2.996851397,3.117671579,-0.406189122,0.156581713,-1,0,-0.551187333,0.441782809
13,1.423463647,2.632044656,-0.050906303,0.009116145,-0.98989899,2.22E-16,-0.827912667,0.337026325
14,1.693627403,2.78436502,-0.100099765,0.026200795,-0.97979798,1.11E-16,-0.791072667,0.365542844
15,3.379215637,3.019786515,-0.500464933,0.18729051,-0.96969697,3.33E-16,-0.462819333,0.432455319
16,2.998924851,3.093830864,-0.400200705,0.138014093,-0.98989899,2.22E-16,-0.541586,0.447603504
17,2.035286258,2.89700472,-0.200293084,0.056324929,-0.939393939,1.11E-16,-0.714974667,0.414404051
18,3.015461858,3.140595727,-0.300237392,0.14876735,-0.929292929,1.11E-16,-0.612438667,0.399646134
19,2.571275524,3.047508898,-0.253884706,0.074910526,-0.929292929,1.11E-16,-0.628860667,0.439945743
20,3.31457395,2.99908982,-0.454001697,0.158139709,-1,0,-0.473032,0.431724862
21,3.172622968,3.09938215,-0.308298052,0.16264125,-0.919191919,2.22E-16,-0.609299333,0.391048816
22,3.094696123,3.048590046,-0.401022041,0.135739408,-1,0,-0.52216,0.436925095
23,3.271351164,2.980779289,-0.412860527,0.121996596,-1,0,-0.474909333,0.434742594
24,3.129575704,3.08996732,-0.450699154,0.176810037,-0.97979798,1.11E-16,-0.520444,0.441459075
25,2.625321775,3.094977432,-0.303321768,0.105646592,-1,0,-0.621274,0.437615689
26,3.086684988,2.99989696,-0.353569269,0.0878612,-0.95959596,0,-0.513469333,0.438403096
27,2.989096355,3.045855461,-0.351066742,0.09308042,-0.98989899,2.22E-16,-0.539256,0.44327791
28,2.120116427,2.881482444,-0.202813271,0.049091833,-0.95959596,0,-0.697158667,0.420528264
29,3.241465687,3.098862545,-0.35025288,0.183521815,-0.919191919,2.22E-16,-0.576180667,0.399908607